发布日期,时间,今值,预测值,前值
1980年6月1日,17:00,38.80K,,47.20K
1980年5月1日,17:00,47.20K,,29.10K
1980年4月1日,17:00,29.10K,,35.20K
1980年3月1日,17:00,35.20K,,16.70K
1980年2月1日,17:00,16.70K,,11.10K
1980年1月1日,17:00,11.10K,,-9.50K
1979年12月1日,17:00,-9.50K,,9.00K
1979年11月1日,17:00,9.00K,,-7.40K
1979年10月1日,17:00,-7.40K,,-12.70K
1979年9月1日,17:00,-12.70K,,-4.20K
1979年8月1日,17:00,-4.20K,,-18.80K
1979年7月1日,17:00,-18.80K,,0.00K
1979年6月1日,17:00,0.00K,,-30.10K
1979年5月1日,17:00,-30.10K,,-2.70K
1979年4月1日,17:00,-2.70K,,20.30K
1979年3月1日,17:00,20.30K,,5.30K
1979年2月1日,17:00,5.30K,,-10.90K
1979年1月1日,17:00,-10.90K,,-20.70K
1978年12月1日,17:00,-20.70K,,-14.80K
1978年11月1日,17:00,-14.80K,,-14.40K
1978年10月1日,17:00,-14.40K,,10.00K
1978年9月1日,17:00,10.00K,,-5.70K
1978年8月1日,17:00,-5.70K,,-0.30K
1978年7月1日,17:00,-0.30K,,-6.70K
1978年6月1日,17:00,-6.70K,,-0.80K
1978年5月1日,17:00,-0.80K,,-2.80K
1978年4月1日,17:00,-2.80K,,-16.60K
1978年3月1日,17:00,-16.60K,,-14.00K
1978年2月1日,17:00,-14.00K,,-4.60K
1978年1月1日,17:00,-4.60K,,-2.00K
1977年12月1日,17:00,-2.00K,,-5.50K
1977年11月1日,17:00,-5.50K,,20.90K
1977年10月1日,17:00,20.90K,,2.90K
1977年9月1日,17:00,2.90K,,20.50K
1977年8月1日,17:00,20.50K,,29.60K
1977年7月1日,17:00,29.60K,,2.10K
1977年6月1日,17:00,2.10K,,9.70K
